station_id,station_name,mean_no2
144,Silbersteinstraße,25.608471742881797
124,Mariendorfer-Damm,25.3020653580673
190,Leipziger-Straße,24.103187014667817
174,Frankfurter-Allee,23.43477674719586
221,Karl-Marx-Straße,21.612704918032787
10,Wedding,18.328192407247627
117,Schildhornstraße,16.13182161345988
171,Mitte,15.287235763589301
42,Neukölln,15.06274266609146
282,Karlshorst,13.244229939603105
77,Buch,9.964489861949957
27,Marienfelde,8.329136108714408
85,Friedrichshagen,8.27966561719683
145,Frohnau,7.95505284728214
32,Grunewald,7.608333333333333
